date,name,title
20250303,대체휴일,holidays
20250304,자율(시업식/입학식),None
20250304,자율(학급회의),None
20250305,동아리 시연회(정아),festival
20250306,학과장 특강(정1),None
20250306,동아리 시연회(숲1),festival
20250306,신입/전압교사 OT,None
20250307,동아리시연회(콘12),festival
20250307,프로그래밍챌린지(숲1),test
20250310,학생상담주간 (3/10~28),None
20250314,자율(학급자치),None
20250314,1학기 정부회장선출,None
20250317,학부모상담 주간 (3/17~21),None
20250319,동아리,None
20250321,학부모총회,None
20250326,학력평가,test
20250326,수업변경(목요일 수업),None
20250327,수업변경(수요일 수업),None
20250327,동아리,None
20250328,학교폭력예방교육1,None
20250402,동아리,None
20250404,봉사활동교육및 계획서 작성,None
20250404,진로특강(아1.2),None
20250404,진로특강(콘1.2),None
20250407,지방기능경기대회(4/7~11),test
20250409,동아리,None
20250411,교육활동침해예방교육,None
20250411,학생도박예방교육,None
20250416,동아리,None
20250418,생명존중교육,None
20250423,중간고사(1.2.3),test
20250424,중간고사(1.2.3),test
20250424,교직원 심폐소생술 연수 1차,None
20250425,중간고사(1.2.3),test
20250428,중간고사(1.2.3),test
20250429,3학년 및 교직원 결핵검진,None
20250430,동아리,None
20250502,성폭력예방교육,None
20250505,어린이날,holidays
20250505,부처님 오신날,holidays
20250505,교생연수(5/5~30),None
20250506,대체휴업일,holidays
20250507,동아리,None
20250508,학력평가(3),test
20250509,약물오남용예방교육,None
20250514,동아리,None
20250516,스마트폰 게임 과의존 예방교육,None
20250516,아동학대 및 실종유괴 예방 교육1,None
20250519,수학여행/수련회,festival
20250520,수학여행/수련회,festival
20250521,수학여행/수련회,festival
20250522,재량휴업일,holidays
20250522,서울지역상업경진대회,test
20250523,다문화교육,None
20250526,1학년 건강검진,None
20250528,졸업전시회(콘3),festival
20250528,동아리,None
20250529,IoT아이디어공모전1차(정),None
20250530,장애인식개선교육,None
20250603,휴업일 (대통령 선거일),holidays
20250604,수능모의평가(3),test
20250604,수업변경(화요일 수업),None
20250605,한마음건강체육행사,None
20250606,현충일,holidays
20250609,기업연구보고서 공모전(아),festival
20250611,동아리,None
20250612,IT활용능력 경진대회(아),test
20250613,1차 입학설명회,None
20250613,인문학교육,None
20250618,동아리,None
20250620,생명존중교육,None
20250625,동아리,None
20250627,진로(학급별진로활동),festival
20250627,진로특강(아),festival
20250701,기말고사(1.2.3),test
20250702,기말고사(1.2.3),test
20250703,기말고사(1.2.3),test
20250704,기말고사(1.2.3),test
20250708,직업기초능력평가(3),test
20250709,창의아이디어경진대회 교내본선(방과후),test
20250709,동아리,None
20250710,학력평가(3),test
20250711,전교회장선거/2학기 정부 회장 선출,None
20250711,수입량유연화(2.3),festival
20250714,수입량유연화(2.3),festival
20250715,수업량유연화(2.3),festival
20250715,알고리즘 페스티벌,festival
20250716,서울진로식업박람회 (7/16-19),None
20250716,1학년 심폐소생술 및 응급 처치교육(2시간),None
20250718,방학식,holidays
20250718,해커톤,festival
20250814,개학식(정상수업),None
20250815,광복절,holidays
20250820,동아리,None
20250822,자율(학급자지),None
20250822,선배와의 대화(아1.2),festival
20250827,동아리,None
20250829,봉사활동교육,None
20250902,수업변경(수요일 수업),None
20250902,동아리,None
20250903,학력평가(1.2),test
20250903,수능 모의평가(3),test
20250903,수업변경(화요일 수업),None
20250904,IoT아이디어공모전2차(정),festival
20250905,SNS 메신저과의존예방교육,None
20250905,학교폭력예방교육2,None
20250905,아동학대 및 실종유과 예방 교육,None
20250910,동아리,None
20250912,소프트웨어나눔축제(~13),festival
20250912,진로(학급별진로활동),None
20250912,선배와의 대화(콘1.2),festival
20250917,동아리,None
20250918,프로그래밍챌린지(솦1),test
20250919,학급자치,None
20250919,전국기능경기대회 (9.20-26),test
20250924,동아리,None
20250926,선린축제,festival
20250929,수업변경(금요일 수업),None
20250930,경영정보시각화능력 경진대회(아),test
20251001,국군의 날,holidays
20251001,동아리,None
20251003,개천절,holidays
20251006,추석,holidays
20251007,추석연휴,holidays
20251008,대체공휴일(추석),holidays
20251009,한글날,holidays
20251010,재량휴업일,holidays
20251013,전국상업경진대회 (~10.14.)-예정,test
20251014,학력평가(1.2.3),test
20251015,동아리,None
20251016,중간고사(1.2),test
20251016,졸업고사(3),test
20251016,교직원 심폐소생술연수 2차,None
20251017,중간고사(1.2),test
20251017,졸업고사(3),test
20251020,중간고사(1.2),test
20251020,졸업고사(3),test
20251021,중간고사(1.2),test
20251021,졸업고사(3),test
20251022,동아리,None
20251023,2차 입학설명회,None
20251024,독도교육,None
20251029,동아리,None
20251031,성매매예방교육,None
20251105,동아리,None
20251106,네트워킹캠프(정),festival
20251107,감염병예방교육/약물오남용예방교육,None
20251112,자율활동(3),None
20251113,수능(3),holidays
20251113,재량휴업일(1.2),holidays
20251114,장애이해교육,None
20251114,디지털콘텐츠개발대회,test
20251118,직업기초능력_파일럿평가(1),test
20251119,동아리,None
20251121,신입생 원서접수,None
20251124,회계실무경진대회(아),test
20251126,신입생 특별전형,holidays
20251126,[학생 휴업일(재량휴업)],holidays
20251128,다문화교육,None
20251203,동아리,None
20251205,생명존중교육,None
20251212,기말고사(1.2),test
20251212,진로(3),None
20251215,기말고사(1.2),test
20251215,진로(3),None
20251216,기말고사(1.2),test
20251216,진로(3),None
20251217,기말고사(1.2),test
20251217,진로(3),None
20251219,자율(학급자치),None
20251222,수업변경 금요일 수업,None
20251222,학과종합발표회 (솦1.2),festival
20251223,학과발표회(정),festival
20251223,고등해커페스티벌(정),festival
20251224,학과종합발표회(콘1.2),festival
20251225,성탄절,holidays
20251226,con-소리합창제(음악과),festival
20251229,학과발표회(아),festival
20251230,수업변경(수요일 수업),None
20260101,신정,holidays
20260102,방학식,holidays
20260202,개학식,None
20260206,졸업식/종업식,None
20260216,설연휴,holidays
20260217,설날,holidays
20260218,설연휴,holidays
20260220,신학기 집중준비기간,None
20260223,신학기 집중준비기간,None
20260224,신학기 집중준비기간,None